SecurityID | ExchangeID | TypeID | Ticker | Name
124        | 1          | 1      | GLW    | Corning Inc.
125        | 2          | 1      | COST   | Costco Co.
126        | 1          | 1      | CVH    | Coventry Health Care Inc.
127        | 1          | 1      | COV    | Covidien plc
128        | 1          | 1      | CCI    | Crown Castle International Corp.
129        | 1          | 1      | CSX    | CSX Corp.
130        | 1          | 1      | CMI    | Cummins Inc.
131        | 1          | 1      | CVS    | CVS Caremark Corp.
132        | 1          | 1      | DHI    | D. R. Horton
133        | 1          | 1      | DHR    | Danaher Corp.
134        | 1          | 1      | DRI    | Darden Restaurants
135        | 1          | 1      | DVA    | DaVita Inc.
136        | 1          | 1      | DF     | Dean Foods
137        | 1          | 1      | DE     | Deere & Co.
138        | 2          | 1      | DELL   | Dell Inc.
139        | 1          | 1      | DNR    | Denbury Resources Inc.
140        | 1          | 1      | XRAY   | Dentsply International
141        | 1          | 1      | DV     | Devon Energy Corp.
142        | 1          | 1      | DV     | DeVry | Inc.
143        | 1          | 1      | DO     | Diamond Offshore Drilling
144        | 2          | 1      | DTV    | DirecTV
145        | 1          | 1      | DFS    | Discover Financial Services
146        | 2          | 1      | DISCA  | Discovery Communications
147        | 2          | 1      | DLTR   | Dollar Tree
148        | 1          | 1      | D      | Dominion Resources
149        | 1          | 1      | RRD    | Donnelley (R.R.) & Sons
150        | 1          | 1      | DOV    | Dover Corp.
151        | 1          | 1      | DOW    | Dow Chemical
152        | 1          | 1      | DPS    | Dr Pepper Snapple Group
153        | 1          | 1      | DTE    | DTE Energy Co.
154        | 1          | 1      | DD     | Du Pont (E.I.)
155        | 1          | 1      | DUK    | Duke Energy
156        | 1          | 1      | DNB    | Dun & Bradstreet
157        | 2          | 1      | ETFC   | E-Trade
158        | 1          | 1      | EM     | Eastman Chemical
159        | 1          | 1      | ET     | Eaton Corp.
160        | 2          | 1      | EBAY   | eBay Inc.
161        | 1          | 1      | ECL    | Ecolab Inc.
162        | 1          | 1      | EIX    | Edison Int'l
163        | 1          | 1      | EW     | Edwards Lifesciences
164        | 2          | 1      | EA     | Electronic Arts
165        | 1          | 1      | EMC    | EMC Corp.
166        | 1          | 1      | EMR    | Emerson Electric
167        | 1          | 1      | ESV    | Ensco plc
168        | 1          | 1      | ETR    | Entergy Corp.
169        | 1          | 1      | EOG    | EOG Resources
170        | 1          | 1      | EQT    | EQT Corporation
171        | 1          | 1      | EFX    | Equifax Inc.
172        | 1          | 1      | EQR    | Equity Residential
173        | 1          | 1      | EL     | Estee Lauder Cos.
174        | 1          | 1      | EXC    | Exelon Corp.
175        | 2          | 1      | EXPE   | Expedia Inc.
